	CONCEPT_NAMES	0	1	2	3	4	5	6	7	8	9
trm_558c7b707f606	left hand response execution	cingulate	state	resting	cingulate cortex	healthy	resting state	insula	insular	clinical	matter
trm_55b6b9d7c9435	working memory maintenance	task	working memory	working	intraparietal	intraparietal sulcus	ips	color	sulcus ips	fronto parietal	tasks
trm_55c298bbe56d5	high energy density food recognition	speech production	production	vocal	naming	sparse	speech	sampling	structural	oral	voxel
trm_4a3fd79d0aa76	object detection	finger	movements	cerebellar	finger movements	premotor cortex	premotor	hand	cerebellum	grasping	motor
trm_4a3fd79d09849	anticipation	listening	acoustic	speech	heard	sounds	listened	sentence	comprehension	voice	matter
trm_557b47abe9a34	decision certainty	default mode	default	mode network	dmn	posterior cingulate	mode	network dmn	resting	medial prefrontal	state
trm_557b48a224b95	loss anticipation	listening	acoustic	speech	sounds	heard	auditory cortex	auditory	listened	temporal gyrus	comprehension
trm_4a3fd79d0a908	mental representation	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	sulcus ips
trm_557b4817db34d	economic value processing	correlation	maps	level signal	states	intensity	cingulate	structures	detect	evidence	follow
trm_4a3fd79d0a33b	feedback processing	ventral premotor	v5	premotor cortex	movements	premotor	static	finger	movement	motion	perception
trm_4a3fd79d0a7bb	learning	posterior cingulate	cingulate	acoustic	state	cingulate cortex	listening	midline	anterior	speech	heard
trm_4a3fd79d0b13d	social cognition	finger	finger movements	finger tapping	sequential	tapping	coordination	motor task	motor	secondary	premotor
trm_557b491318742	oddball detection	auditory cortex	sounds	auditory	listening	superior temporal	acoustic	heschl	heschl gyrus	planum	planum temporale
trm_55b6b9a666604	working memory updating	visual	lateral occipital	occipital	objects	object	extrastriate	occipito temporal	occipito	motion	occipitotemporal
trm_557b493e4203a	positive feedback processing	language	temporal sulcus	sentences	speech	superior temporal	reading	sentence	temporal	word	comprehension
trm_4aae62e4ad209	cognitive control	occipito	occipito temporal	fusiform	visual	occipital	lateral occipital	inferior occipital	selective	orthographic	color
trm_4a3fd79d0ba30	maintenance	dorsolateral	dorsolateral prefrontal	control	working memory	error	task	working	response inhibition	supplementary	dlpfc
trm_557b4b05ae470	visual color discrimination	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg
trm_4a3fd79d0a17f	emotion	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex
