	TP	TN	FP	FN	image1	image2
135_2718	14.0	0.0	246.0	4.0	135.0	2718.0
2824_3164	14.0	0.0	249.0	1.0	2824.0	3164.0
116_190	12.0	0.0	250.0	2.0	116.0	190.0
120_183	18.0	0.0	239.0	7.0	120.0	183.0
3162_3188	13.0	0.0	249.0	2.0	3162.0	3188.0
140_3179	20.0	0.0	235.0	9.0	140.0	3179.0
3156_3162	3.0	0.0	260.0	1.0	3156.0	3162.0
4_3185	13.0	0.0	248.0	3.0	4.0	3185.0
3162_8718	2.0	0.0	261.0	1.0	3162.0	8718.0
165_420	24.0	0.0	234.0	6.0	165.0	420.0
3_412	16.0	0.0	241.0	7.0	3.0	412.0
122_3188	14.0	0.0	247.0	3.0	122.0	3188.0
8625_10924	2.0	0.0	255.0	7.0	8625.0	10924.0
146_2883	17.0	0.0	243.0	4.0	146.0	2883.0
190_3193	22.0	0.0	238.0	4.0	190.0	3193.0
394_3193	18.0	0.0	241.0	5.0	394.0	3193.0
1750_3040	9.0	0.0	249.0	6.0	1750.0	3040.0
395_3162	7.0	0.0	255.0	2.0	395.0	3162.0
165_3154	24.0	0.0	233.0	7.0	165.0	3154.0
120_395	14.0	0.0	246.0	4.0	120.0	395.0
186_1586	17.0	0.0	237.0	10.0	186.0	1586.0
4_3186	13.0	0.0	247.0	4.0	4.0	3186.0
183_8820	12.0	0.0	247.0	5.0	183.0	8820.0
166_10924	22.0	0.0	236.0	6.0	166.0	10924.0
165_186	25.0	0.0	230.0	9.0	165.0	186.0
1584_2731	7.0	0.0	254.0	3.0	1584.0	2731.0
2866_3158	1.0	0.0	258.0	5.0	2866.0	3158.0
178_3192	16.0	0.0	243.0	5.0	178.0	3192.0
3_1587	13.0	0.0	246.0	5.0	3.0	1587.0
154_8718	15.0	0.0	246.0	3.0	154.0	8718.0
144_3175	23.0	0.0	238.0	3.0	144.0	3175.0
120_146	24.0	0.0	234.0	6.0	120.0	146.0
149_187	26.0	0.0	234.0	4.0	149.0	187.0
146_187	26.0	1.0	232.0	5.0	146.0	187.0
415_2826	13.0	0.0	244.0	7.0	415.0	2826.0
1587_3142	6.0	0.0	253.0	5.0	1587.0	3142.0
118_139	21.0	0.0	242.0	1.0	118.0	139.0
143_3193	21.0	0.0	240.0	3.0	143.0	3193.0
116_186	11.0	0.0	249.0	4.0	116.0	186.0
418_3041	15.0	0.0	244.0	5.0	418.0	3041.0
141_3039	12.0	0.0	250.0	2.0	141.0	3039.0
111_3040	2.0	1.0	258.0	3.0	111.0	3040.0
143_2883	11.0	0.0	251.0	2.0	143.0	2883.0
141_1586	18.0	0.0	240.0	6.0	141.0	1586.0
3192_8820	16.0	0.0	245.0	3.0	3192.0	8820.0
187_407	18.0	0.0	240.0	6.0	187.0	407.0
135_3185	21.0	0.0	240.0	3.0	135.0	3185.0
407_3194	22.0	0.0	237.0	5.0	407.0	3194.0
420_1586	17.0	0.0	241.0	6.0	420.0	1586.0
136_8820	9.0	0.0	249.0	6.0	136.0	8820.0
3180_3185	12.0	0.0	247.0	5.0	3180.0	3185.0
111_2883	3.0	1.0	258.0	2.0	111.0	2883.0
172_2731	17.0	0.0	241.0	6.0	172.0	2731.0
1587_2824	12.0	0.0	249.0	3.0	1587.0	2824.0
3_3175	23.0	0.0	234.0	7.0	3.0	3175.0
159_3162	11.0	0.0	253.0	0.0	159.0	3162.0
3156_3186	12.0	0.0	248.0	4.0	3156.0	3186.0
109_120	16.0	0.0	242.0	6.0	109.0	120.0
166_2963	20.0	0.0	237.0	7.0	166.0	2963.0
178_3142	5.0	2.0	248.0	9.0	178.0	3142.0
140_141	22.0	0.0	240.0	2.0	140.0	141.0
3180_8718	1.0	0.0	259.0	4.0	3180.0	8718.0
166_3173	31.0	0.0	227.0	6.0	166.0	3173.0
147_420	23.0	0.0	237.0	4.0	147.0	420.0
173_177	14.0	0.0	246.0	4.0	173.0	177.0
119_3129	19.0	0.0	240.0	5.0	119.0	3129.0
111_2866	3.0	1.0	256.0	4.0	111.0	2866.0
407_3179	19.0	0.0	236.0	9.0	407.0	3179.0
149_186	26.0	0.0	232.0	6.0	149.0	186.0
139_186	23.0	0.0	237.0	4.0	139.0	186.0
144_3158	13.0	0.0	250.0	1.0	144.0	3158.0
3173_3191	24.0	0.0	236.0	4.0	3173.0	3191.0
3154_3187	18.0	0.0	242.0	4.0	3154.0	3187.0
116_138	6.0	0.0	251.0	7.0	116.0	138.0
118_3041	18.0	0.0	245.0	1.0	118.0	3041.0
3179_8625	11.0	0.0	243.0	10.0	3179.0	8625.0
4_3158	3.0	0.0	259.0	2.0	4.0	3158.0
3142_3154	13.0	0.0	244.0	7.0	3142.0	3154.0
140_8625	13.0	0.0	246.0	5.0	140.0	8625.0
178_3039	3.0	1.0	255.0	5.0	178.0	3039.0
149_172	29.0	0.0	228.0	7.0	149.0	172.0
173_8730	21.0	0.0	234.0	9.0	173.0	8730.0
140_3191	26.0	0.0	236.0	2.0	140.0	3191.0
139_2731	16.0	0.0	246.0	2.0	139.0	2731.0
109_190	19.0	0.0	240.0	5.0	109.0	190.0
157_3188	22.0	0.0	236.0	6.0	157.0	3188.0
395_415	8.0	0.0	252.0	4.0	395.0	415.0
3039_3041	10.0	0.0	251.0	3.0	3039.0	3041.0
138_3175	16.0	0.0	238.0	10.0	138.0	3175.0
1587_3179	11.0	0.0	246.0	7.0	1587.0	3179.0
186_8718	10.0	0.0	249.0	5.0	186.0	8718.0
420_8719	9.0	0.0	251.0	4.0	420.0	8719.0
143_2718	13.0	0.0	246.0	5.0	143.0	2718.0
2866_3142	6.0	0.0	251.0	7.0	2866.0	3142.0
165_3131	27.0	0.0	233.0	4.0	165.0	3131.0
415_3039	6.0	0.0	256.0	2.0	415.0	3039.0
122_3173	14.0	0.0	247.0	3.0	122.0	3173.0
394_3186	18.0	0.0	240.0	6.0	394.0	3186.0
172_3131	23.0	0.0	235.0	6.0	172.0	3131.0
3129_8727	14.0	0.0	247.0	3.0	3129.0	8727.0
136_3193	17.0	0.0	239.0	8.0	136.0	3193.0
401_2866	10.0	0.0	248.0	6.0	401.0	2866.0
165_173	30.0	0.0	227.0	7.0	165.0	173.0
1584_2963	4.0	0.0	256.0	4.0	1584.0	2963.0
138_141	14.0	0.0	241.0	9.0	138.0	141.0
401_3154	17.0	0.0	241.0	6.0	401.0	3154.0
1586_2963	11.0	0.0	248.0	5.0	1586.0	2963.0
395_8820	7.0	0.0	254.0	3.0	395.0	8820.0
118_165	25.0	0.0	235.0	4.0	118.0	165.0
144_3180	12.0	0.0	248.0	4.0	144.0	3180.0
419_2729	10.0	0.0	250.0	4.0	419.0	2729.0
2723_2731	8.0	0.0	255.0	1.0	2723.0	2731.0
2826_2866	12.0	0.0	245.0	7.0	2826.0	2866.0
166_3185	31.0	0.0	227.0	6.0	166.0	3185.0
136_2723	10.0	0.0	248.0	6.0	136.0	2723.0
394_10924	10.0	0.0	250.0	4.0	394.0	10924.0
2723_3158	5.0	0.0	258.0	1.0	2723.0	3158.0
172_2866	15.0	0.0	242.0	7.0	172.0	2866.0
159_166	29.0	0.0	231.0	4.0	159.0	166.0
154_3129	27.0	0.0	232.0	5.0	154.0	3129.0
177_418	7.0	0.0	253.0	4.0	177.0	418.0
138_3158	6.0	0.0	250.0	8.0	138.0	3158.0
3_3158	13.0	1.0	245.0	5.0	3.0	3158.0
