,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
13275,trm_558c73f3c8c6f,1,0,91,0,1,1,1,1,91,1
13284,trm_557b48aeb7d58,1,0,91,0,1,1,1,1,91,1
13294,trm_4a3fd79d0b61f,1,0,91,0,1,1,1,1,91,1
13295,trm_557b4817db34d,1,0,91,0,1,1,1,1,91,1
13296,trm_567982752ff4a,1,0,91,0,1,1,1,1,91,1
13301,trm_557b48d40d3cf,1,0,91,0,1,1,1,1,91,1
13302,trm_557b495cdde57,1,0,91,0,1,1,1,1,91,1
13304,trm_4a3fd79d0b64e,1,0,91,0,1,1,1,1,91,1
13307,trm_5678a999f1c19,1,0,91,0,1,1,1,1,91,1
13320,trm_55b6b98b88f45,1,0,91,0,1,1,1,1,91,1
13321,trm_4c3e04d656f06,1,0,91,0,1,1,1,1,91,1
13322,trm_557b47abe9a34,1,0,91,0,1,1,1,1,91,1
13323,trm_557b471bc6cd8,1,0,91,0,1,1,1,1,91,1
13324,trm_4a3fd79d0a775,1,0,91,0,1,1,1,1,91,1
13327,trm_4a3fd79d0a17f,1,0,91,0,1,1,1,1,91,1
13330,trm_4a3fd79d09af8,1,0,91,0,1,1,1,1,91,1
13332,trm_557b4b05ae470,1,0,91,0,1,1,1,1,91,1
8286,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.62
8418,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.63
8550,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.64
8682,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.65
8814,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.66
8946,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.67
9078,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.68
9210,trm_557b495cdde57,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.69
