	image_id	node	ri_score	bayes_factor	in_count	out_count
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_18_000142	000142	trm_4a3fd79d0a398	0.507953972071	1.01590794414	18.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_28_000188	000188	trm_4a3fd79d0a398	0.476194361543	0.952388723086	28.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_31_000418	000418	trm_4a3fd79d0a398	0.526958320059	1.05391664012	31.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_000142	000142	trm_4a3fd79d0a398	0.572207003483	1.14441400697	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_10_000164	000164	trm_4a3fd79d0a398	0.556510135894	1.11302027179	10.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_21_000412	000412	trm_4a3fd79d0a398	0.0281237299472	0.0562474598944	21.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_14_000187	000187	trm_4a3fd79d0a398	0.380545081014	0.761090162028	14.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_3_003179	003179	trm_4a3fd79d0a398	0.467841265442	0.935682530884	3.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_29_000395	000395	trm_4a3fd79d0a398	0.519085001459	1.03817000292	29.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_000412	000412	trm_4a3fd79d0a398	5.23280552369e-06	1.04656110474e-05	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_22_002714	002714	trm_4a3fd79d0a398	0.51109460594	1.02218921188	22.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_15_003156	003156	trm_4a3fd79d0a398	0.365964397225	0.731928794449	15.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_9_000004	000004	trm_4a3fd79d0a398	0.455188383262	0.910376766524	9.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_000118	000118	trm_4a3fd79d0a398	0.589485872141	1.17897174428	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_16_000178	000178	trm_4a3fd79d0a398	0.607599532686	1.21519906537	16.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_2_000173	000173	trm_4a3fd79d0a398	0.44532119839	0.890642396779	2.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_25_003160	003160	trm_4a3fd79d0a398	0.276732984187	0.553465968373	25.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_26_000159	000159	trm_4a3fd79d0a398	0.503294450024	1.00658890005	26.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_29_000401	000401	trm_4a3fd79d0a398	0.557943864407	1.11588772881	29.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000395	000395	trm_4a3fd79d0a398	0.561504085028	1.12300817006	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_25_002723	002723	trm_4a3fd79d0a398	0.384952507424	0.769905014847	25.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_18_000147	000147	trm_4a3fd79d0a398	0.569833528992	1.13966705798	18.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_1_000188	000188	trm_4a3fd79d0a398	0.341825247575	0.68365049515	1.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_1_000172	000172	trm_4a3fd79d0a398	0.240694332409	0.481388664818	1.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_3_000142	000142	trm_4a3fd79d0a398	5.72840208743e-05	0.000114568041749	3.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_11_003180	003180	trm_4a3fd79d0a398	0.105222940169	0.210445880337	11.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_18_000172	000172	trm_4a3fd79d0a398	0.566137209106	1.13227441821	18.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_7_000154	000154	trm_4a3fd79d0a398	0.541940490397	1.08388098079	7.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_11_000120	000120	trm_4a3fd79d0a398	0.456875526256	0.913751052511	11.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_20_000395	000395	trm_4a3fd79d0a398	0.568735080426	1.13747016085	20.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_7_008719	008719	trm_4a3fd79d0a398	0.531977915472	1.06395583094	7.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_11_000188	000188	trm_4a3fd79d0a398	0.465868248038	0.931736496077	11.0	58.0
